id,title,category,source,url,published,description
1be825cf0ebcf7c1,10 kiểu mặc áo khoác len đi làm,Giải trí,VnExpress,https://vnexpress.net/10-kieu-mac-ao-khoac-len-di-lam-4958226.html,2025-11-01T12:09:39+07:00,"<a href=""https://vnexpress.net/10-kieu-mac-ao-khoac-len-di-lam-4958226.html""><img src=""https://i1-giaitri.vnecdn.net/2025/10/31/mix-ao-khoac-len-1761885420.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=sP1bJ1OA-H12JNEb9yU15Q"" /></a>Áo khoác len và chân váy mini là một trong những kiểu kết hợp phổ biến, được các fashionista ưa chuộng."
48b63e81dda4f3ad,Amber Heard đón Halloween bên các con,Giải trí,VnExpress,https://vnexpress.net/amber-heard-don-halloween-ben-cac-con-4958558.html,2025-11-01T10:14:00+07:00,"<a href=""https://vnexpress.net/amber-heard-don-halloween-ben-cac-con-4958558.html""><img src=""https://i1-giaitri.vnecdn.net/2025/11/01/die-n-vie-n-amber-heard-do-n-h-2158-9706-1761965070.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=557g8eKGRn217A-JWtnMZQ"" /></a>Diễn viên Amber Heard hóa trang cho con gái lớn Oonagh và con song sinh Agnes - Ocean, quây quần bên các bé trong ngày Halloween."
b276efe4c307e0c8,Những bức tranh 'chỉ có màu xanh' giá triệu USD,Giải trí,VnExpress,https://vnexpress.net/nhung-buc-tranh-chi-co-mau-xanh-gia-trieu-usd-4956157.html,2025-11-01T00:00:00+07:00,"<a href=""https://vnexpress.net/nhung-buc-tranh-chi-co-mau-xanh-gia-trieu-usd-4956157.html""><img src=""https://i1-giaitri.vnecdn.net/2025/10/30/anthropometrie-ant-124-yves-klein-1761530239-1761530249-1761533428-1761810822.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=o5qATbbJ6zCYk9jv02QYBg"" /></a>Bức tranh chỉ có màu xanh - ""California"" - trị giá 21,4 triệu USD, thuộc top những tác phẩm đắt nhất của danh họa Pháp Yves Klein."
80235eaabf4d9a84,'Khu tập thể' (kỳ cuối): nhà vệ sinh dùng chung,Giải trí,VnExpress,https://vnexpress.net/khu-tap-the-ky-cuoi-nha-ve-sinh-dung-chung-4958412.html,2025-11-01T14:23:09+07:00,"<a href=""https://vnexpress.net/khu-tap-the-ky-cuoi-nha-ve-sinh-dung-chung-4958412.html""><img src=""https://i1-giaitri.vnecdn.net/2025/11/01/khu-tap-the-kim-lien-176197723-2593-2215-1761977346.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=RxZ5IyqZMSYyAQHCkkrvdg"" /></a>Ở các khu tập thể thời bao cấp, trong đó có Kim Liên, nhà vệ sinh còn là nơi nhắc nhở về ý thức cộng đồng, rèn luyện tác phong."
e00073b58d576226,Nhóm BTOB tái ngộ khán giả Việt,Giải trí,VnExpress,https://vnexpress.net/nhom-btob-tai-ngo-khan-gia-viet-4958588.html,2025-11-01T10:52:46+07:00,"<a href=""https://vnexpress.net/nhom-btob-tai-ngo-khan-gia-viet-4958588.html""><img src=""https://i1-giaitri.vnecdn.net/2025/11/01/fan-4-1761962450-1761964332-1761964358-1761965311-1761969420-1761969487.webp?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=-l8p_QIEmbRbaQvPuKMAFA"" /></a>Nhóm nhạc Hàn Quốc BTOB trở lại sân khấu TP HCM sau bảy năm, khuấy động không khí qua loạt bài hit, tối 31/10."
634758f093d4a108,Đổng Khiết giữ dáng nhờ làm việc nhà,Giải trí,VnExpress,https://vnexpress.net/dong-khiet-giu-dang-nho-lam-viec-nha-4958532.html,2025-11-01T08:35:01+07:00,"<a href=""https://vnexpress.net/dong-khiet-giu-dang-nho-lam-viec-nha-4958532.html""><img src=""https://i1-giaitri.vnecdn.net/2025/11/01/topdongkhiet3-1761954640-3320-1761954957.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=zKVkXH6dZYX74KF0XX_Pug"" /></a>Đổng Khiết, minh tinh Trung Quốc đóng ""Kim phấn thế gia"", nói cô làm tất cả việc nhà nên tiêu hao năng lượng, không bị tăng cân."
acf2b01db7cb89cb,Truyện về cuộc chiến quái vật của J. K. Rowling,Giải trí,VnExpress,https://vnexpress.net/truyen-ve-cuoc-chien-quai-vat-cua-j-k-rowling-4958420.html,2025-11-01T11:42:30+07:00,"<a href=""https://vnexpress.net/truyen-ve-cuoc-chien-quai-vat-cua-j-k-rowling-4958420.html""><img src=""https://i1-giaitri.vnecdn.net/2025/11/01/quai-vat-1-1761968176-17619684-3180-3062-1761968614.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=NTCL3JSq9xVsqibIlMkHhw"" /></a>Tác giả ""Harry Potter"" J. K. Rowling viết truyện ""Quái vật Ickabog"", xoay quanh cuộc chiến bảo vệ vương quốc của hai bạn nhỏ."
21a411b215207ef0,TP HCM là 'Thành phố điện ảnh' đầu tiên của Đông Nam Á,Giải trí,VnExpress,https://vnexpress.net/tp-hcm-la-thanh-pho-dien-anh-dau-tien-cua-dong-nam-a-4958510.html,2025-10-31T23:50:27+07:00,"<a href=""https://vnexpress.net/tp-hcm-la-thanh-pho-dien-anh-dau-tien-cua-dong-nam-a-4958510.html""><img src=""https://i1-giaitri.vnecdn.net/2025/10/31/hiff-1761927280-1761927330-176-8861-7176-1761927909.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=fCXURTXMqUkyGvXrdSIS7g"" /></a>UNESCO công nhận TP HCM là Thành phố Sáng tạo trong lĩnh vực điện ảnh đầu tiên của khu vực Đông Nam Á."
ebe0317d98bcc524,'Triển Chiêu' Chân Chí Cường qua đời,Giải trí,VnExpress,https://vnexpress.net/trien-chieu-chan-chi-cuong-qua-doi-4958328.html,2025-10-31T15:01:57+07:00,"<a href=""https://vnexpress.net/trien-chieu-chan-chi-cuong-qua-doi-4958328.html""><img src=""https://i1-giaitri.vnecdn.net/2025/10/31/bvcl-1cdn-vn-2022-10-19-s1-med-4721-3558-1761897289.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=1Qr85P4gjUlX5_g9zgymNg"" /></a>Diễn viên Chân Chí Cường - được mệnh danh là ""Triển Chiêu điển trai nhất màn ảnh"" - qua đời ở tuổi 59."
00b537b806245628,Dimash - 'giọng ca từ thiên đường',Giải trí,VnExpress,https://vnexpress.net/dimash-giong-ca-tu-thien-duong-4912861.html,2025-10-31T12:33:28+07:00,"<a href=""https://vnexpress.net/dimash-giong-ca-tu-thien-duong-4912861.html""><img src=""https://i1-giaitri.vnecdn.net/2025/10/31/dimash-jan-2025-1752551470-175-8414-2415-1761895560.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=Hxsdl4C0Z-S8lzM-JEmUig"" /></a>Khi Dimash, 31 tuổi, người Kazakhstan, cất tiếng hát, nhiều khán giả ví giọng ca của anh là ""món quà Thượng đế tặng cõi phàm""."
